瘤痢,斥档,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
巢盔,2005,2005-04-08,7老,2005-04-11,5老, , 
巢盔,2006,2006-04-04,3老,2006-04-08,2老, , 
巢盔,2007,2007-03-28,-4老,2007-03-31,-6老, , 
巢盔,2008,2008-04-01,0老,2008-04-04,-2老, , 
巢盔,2009,2009-03-18,-14老,2009-03-28,-9老, , 
巢盔,2010,2010-04-05,4老,2010-04-08,2老, , 
巢盔,2011,2011-04-08,7老,2011-04-12,6老, , 
巢盔,2012,2012-04-09,8老,2012-04-12,6老, , 
巢盔,2013,2013-03-31,-1老,2013-04-03,-3老, , 
巢盔,2014,2014-03-28,-4老,2014-03-30,-7老, , 
巢盔,2015,2015-03-30,-2老,2015-04-01,-5老,2015-04-03, 
何救,2005,2005-03-20,-1老,2005-04-06,-1老, , 
何救,2006,2006-03-17,-4老,2006-04-06,-1老, , 
何救,2007,2007-03-16,-5老,2007-03-30,-8老, , 
何救,2008,2008-03-13,-8老,2008-04-07,0老, , 
烙角,2005,2005-04-02,2老,2005-04-12,1老, , 
烙角,2006,2006-04-05,5老,2006-04-14,3老, , 
烙角,2007,2007-03-30,-1老,2007-04-08,-3老, , 
烙角,2008,2008-03-25,-6老,2008-04-04,-7老, , 
厘荐,2005,2005-04-03,0老,2005-04-17,4老, , 
厘荐,2006,2006-04-05,2老,2006-04-12,-1老, , 
厘荐,2007,2007-04-01,-2老,2007-04-08,-5老, , 
厘荐,2008,2008-04-05,2老,2008-04-11,-2老, , 
傈林,2005,2005-04-04,12老,2005-04-09,6老, , 
傈林,2006,2006-03-25,2老,2006-04-05,2老, , 
傈林,2007,2007-03-21,-2老,2007-03-27,-7老, , 
傈林,2008,2008-03-23,0老,2008-04-02,-1老, , 
傈林,2009,2009-03-17,-6老,2009-03-31,-3老, , 
傈林,2010,2010-03-28,5老,2010-04-05,2老, , 
傈林,2011,2011-04-01,9老,2011-04-10,7老, , 
傈林,2012,2012-04-01,9老,2012-04-10,7老, , 
傈林,2013,2013-03-25,2老,2013-04-03,0老, , 
傈林,2014,2014-03-22,-1老,2014-03-28,-6老, , 
傈林,2015,2015-03-17,-6老,2015-03-30,-4老,2015-04-10,2老
傈林,2016,2016-03-13,-10老,2016-03-27,-7老,2016-04-05,-3老
傈林,2017,2017-03-11,-12老,2017-04-02,-1老,2017-04-05,-3老
傈林,2018,2018-03-14,-9老,2018-03-27,-7老,2018-04-01,-7老
傈林,2019,2019-03-12,-11老,2019-03-29,-5老,2019-04-05,-3老
傈林,2020,2020-03-09,-14老,2020-03-26,-8老,2020-03-31,-8老
傈林,2021,2021-03-08,-15老,2021-03-18,-16老,2021-03-25,-14老
傈林,2022,2022-03-14,-9老,2022-03-30,-4老,2022-04-01,-7老
傈林,2023,2023-03-13,-10老,2023-03-22,-12老,2023-03-26,-13老
傈林,2024,2024-03-15,-8老,2024-03-26,-8老,2024-03-31,-8老
傈林,2025,2025-03-21,-2老,2025-03-27,-7老,2025-04-01,-7老
沥谰,2005,2005-04-04,9老,2005-04-09,4老, , 
沥谰,2006,2006-03-26,0老,2006-04-07,2老, , 
沥谰,2007,2007-03-24,-2老,2007-03-29,-7老, , 
沥谰,2008,2008-03-23,-3老,2008-04-04,-1老, , 
沥谰,2009,2009-03-25,-1老,2009-04-01,-4老, , 
沥谰,2010,2010-03-27,1老,2010-04-06,1老, , 
沥谰,2011,2011-04-04,9老,2011-04-11,6老, , 
沥谰,2012,2012-03-30,4老,2012-04-12,7老, , 
沥谰,2013,2013-03-25,-1老,2013-04-05,0老,2013-04-12, 
沥谰,2014,2014-03-24,-2老,2014-03-31,-5老,2014-04-04, 
沥谰,2015,2015-03-26,0老,2015-04-02,-3老,2015-04-05, 
绊魂,2005,2005-03-17,4老,2005-04-04,8老, , 
绊魂,2006,2006-03-10,-3老,2006-03-26,-1老, , 
绊魂,2007,2007-03-07,-6老,2007-03-21,-6老, , 
绊魂,2008,2008-03-09,-4老,2008-03-25,-2老, , 
绊魂,2009,2009-03-10,-3老,2009-03-20,-7老, , 
绊魂,2010,2010-03-06,-7老,2010-03-22,-5老, , 
绊魂,2011,2011-03-10,-3老,2011-03-28,1老, , 
绊魂,2012,2012-03-20,7老,2012-04-05,9老, , 
绊魂,2013,2013-03-08,-5老,2013-03-27,0老, , 
绊魂,2014,2014-03-19,6老,2014-03-28,1老, , 
绊魂,2015,2015-03-20,7老,2015-03-30,3老, , 
辑蓖器,2005,2005-03-09,0老,2005-04-01,8老, , 
辑蓖器,2006,2006-03-11,2老,2006-03-25,1老, , 
辑蓖器,2007,2007-03-05,-4老,2007-03-23,-1老, , 
辑蓖器,2008,2008-03-05,-4老,2008-03-22,-2老, , 
辑蓖器,2009,2009-03-04,-5老,2009-03-19,-5老, , 
辑蓖器,2010,2010-03-05,-4老,2010-03-17,-7老, , 
辑蓖器,2011,2011-03-08,-1老,2011-03-28,4老, , 
辑蓖器,2012,2012-03-19,10老,2012-03-29,5老, , 
辑蓖器,2013,2013-03-10,1老,2013-03-17,-7老, , 
辑蓖器,2014,2014-03-18,9老,2014-03-25,1老, , 
辑蓖器,2015,2015-03-12,3老,2015-03-25,1老,2015-04-01, 
辑蓖器,2019,2019-03-15,6老,2019-03-25,1老,2019-03-30, 
辑蓖器,2020,2020-03-13,4老,2020-03-26,2老,2020-04-01, 
辑蓖器,2021,2021-03-12,3老,2021-03-18,-6老,2021-03-22, 
辑蓖器,2022,2022-03-15,6老,2022-03-25,1老,2022-03-29, 
辑蓖器,2023,2023-03-09,0老,2023-03-24,0老,2023-03-31, 
辑蓖器,2024,2024-03-22,13老,2024-03-30,6老,2024-04-02, 
辑蓖器,2025,2025-03-24,15老,2025-03-27,3老,2025-04-07, 
己魂,2005,2005-03-16,4老,2005-04-06,10老, , 
己魂,2006,2006-03-13,1老,2006-03-27,0老, , 
己魂,2007,2007-03-06,-6老,2007-03-21,-6老, , 
己魂,2008,2008-03-05,-7老,2008-03-23,-4老, , 
己魂,2009,2009-03-08,-4老,2009-03-20,-7老, , 
己魂,2010,2010-03-08,-4老,2010-03-22,-5老, , 
己魂,2011,2011-03-08,-4老,2011-03-31,4老, , 
己魂,2012,2012-03-20,8老,2012-04-01,5老, , 
己魂,2013,2013-03-16,4老,2013-03-26,-1老,2013-04-01, 
己魂,2014,2014-03-18,6老,2014-03-21,-6老,2014-03-31, 
己魂,2015,2015-03-20,8老,2015-03-27,0老, , 
己魂,2008,2008-03-05, ,2008-03-23, , , 
己魂器,2005,2005-03-16, ,2005-04-06, , , 
己魂器,2006,2006-03-13, ,2006-03-27, , , 
己魂器,2007,2007-03-06, ,2007-03-21, , , 
力林,2005,2005-03-19,9老,2005-04-03,9老, , 
力林,2006,2006-03-11,1老,2006-03-25,0老, , 
力林,2007,2007-03-07,-3老,2007-03-22,-3老, , 
力林,2008,2008-03-05,-5老,2008-03-23,-2老, , 
力林,2009,2009-03-08,-2老,2009-03-19,-6老, , 
力林,2010,2010-03-08,-2老,2010-03-19,-6老, , 
力林,2011,2011-03-15,5老,2011-03-28,3老, , 
力林,2012,2012-03-16,6老,2012-03-30,5老, , 
力林,2013,2013-03-11,1老,2013-03-18,-7老, , 
力林,2014,2014-03-14,4老,2014-03-25,0老, , 
力林,2015,2015-03-11,1老,2015-03-25,0老,包螟 救凳,—
力林,2016,2016-03-06,-4老,2016-03-21,-4老,2016-03-29, 
力林,2017,2017-03-11,1老,2017-03-28,3老,2017-04-04, 
力林,2018,2018-03-11,1老,2018-03-22,-3老,2018-03-27, 
力林,2019,2019-03-11,1老,2019-03-25,0老,2019-03-29, 
力林,2020,2020-03-13,3老,2020-03-24,-1老,2020-03-27, 
力林,2021,2021-03-09,-1老,2021-03-17,-8老,2021-03-22, 
力林,2022,2022-03-17,7老,2022-03-25,0老,2022-03-29, 
力林,2023,2023-03-09,-1老,2023-03-22,-3老,2023-03-27, 
力林,2024,2024-03-18,8老,2024-03-23,-2老,2024-04-01, 
力林,2025,2025-03-21,11老,2025-03-26,1老,2025-03-27, 
陛魂,2005,2005-03-31,4老,2005-04-11,2老, , 
陛魂,2006,2006-03-29,2老,2006-04-09,0老, , 
陛魂,2007,2007-03-23,-4老,2007-04-05,-4老, , 
陛魂,2008,2008-03-26,-1老,2008-04-06,-3老, , 
焊飞,2005,2005-03-31,5老,2005-04-14,4老, , 
焊飞,2006,2006-03-24,-2老,2006-04-09,-1老, , 
焊飞,2007,2007-03-20,-6老,2007-04-05,-5老, , 
焊飞,2008,2008-03-26,0老,2008-04-08,-2老, , 
焊飞,2009,2009-03-18,-8老,2009-04-07,-3老, , 
焊飞,2010,2010-03-27,1老,2010-04-09,-1老, , 
焊飞,2011,2011-04-01,6老,2011-04-15,5老, , 
焊飞,2012,2012-04-05,10老,2012-04-16,6老, , 
焊飞,2013,2013-03-24,-2老,2013-04-15,5老, , 
焊飞,2014,2014-03-28,2老,2014-04-03,-7老, , 
焊飞,2015,2015-03-30,4老,2015-04-09,-1老, , 
何咯,2005,2005-03-30,5老,2005-04-09,1老, , 
何咯,2006,2006-03-26,1老,2006-04-09,1老, , 
何咯,2007,2007-03-19,-6老,2007-03-30,-9老, , 
何咯,2008,2008-03-27,2老,2008-04-03,-5老, , 
辑魂,2005,2005-04-09,12老,2005-04-13,2老, , 
辑魂,2006,2006-04-03,6老,2006-04-09,-2老, , 
辑魂,2007,2007-03-29,1老,2007-04-09,-2老, , 
辑魂,2008,2008-03-28,0老,2008-04-06,-5老, , 
辑魂,2009,2009-03-23,-5老,2009-04-05,-6老, , 
辑魂,2010,2010-03-24,-4老,2010-04-14,3老, , 
辑魂,2011,2011-04-01,4老,2011-04-14,3老, , 
辑魂,2012,2012-03-30,2老,2012-04-16,5老, , 
辑魂,2013,2013-04-12,15老,2013-04-20,9老, , 
辑魂,2014,2014-03-26,-2老,2014-04-03,-8老, , 
辑魂,2015,2015-03-25,-3老,2015-04-07,-4老,2015-04-10, 
辑魂,2016,2016-03-27,-1老,2016-04-06,-5老,2016-04-09, 
辑魂,2017,2017-03-29,1老,2017-04-10,-1老,2017-04-12, 
玫救,2005,2005-04-01,3老,2005-04-10,0老, , 
玫救,2006,2006-04-05,7老,2006-04-10,0老, , 
玫救,2007,2007-03-28,-1老,2007-04-06,-4老, , 
玫救,2008,2008-03-24,-5老,2008-04-14,4老, , 
玫救,2009,2009-03-23,-6老,2009-04-04,-6老, , 
玫救,2010,2010-04-01,3老,2010-04-10,0老, , 
玫救,2011,2011-04-04,6老,2011-04-13,3老, , 
玫救,2012,2012-03-30,1老,2012-04-16,6老, , 
玫救,2013,2013-03-23,-6老,2013-04-15,5老, , 
玫救,2014,2014-03-24,-5老,2014-03-31,-10老, , 
玫救,2015,2015-03-27,-2老,2015-04-08,-2老,2015-04-12, 
全己,2018,2018-03-29, ,2018-04-04, ,2018-04-06, 
全己,2019,2019-03-29, ,2019-04-07, ,2019-04-10, 
全己,2020,2020-03-24, ,2020-04-01, ,2020-04-05, 
全己,2021,2021-03-23, ,2021-03-31, ,2021-04-04, 
全己,2022,2022-04-01, ,2022-04-08, ,2022-04-11, 
全己,2023,2023-03-24, ,2023-03-30, ,2023-04-01, 
全己,2024,2024-03-29, ,2024-04-07, ,2024-04-11, 
全己,2025,2025-03-27, ,2025-04-07, ,2025-04-11, 
焊篮,2005,2005-04-04,6老,2005-04-15,3老, , 
焊篮,2006,2006-03-27,-2老,2006-04-12,0老, , 
焊篮,2007,2007-03-29,0老,2007-04-09,-3老, , 
焊篮,2008,2008-03-26,-3老,2008-04-07,-5老, , 
力玫,2005,2005-04-04,6老,2005-04-13,0老, , 
力玫,2006,2006-04-03,5老,2006-04-11,-2老, , 
力玫,2007,2007-03-30,1老,2007-04-10,-3老, , 
力玫,2008,2008-03-28,-1老,2008-04-11,-2老, , 
没林,2005,2005-04-01,6老,2005-04-09,3老, , 
没林,2006,2006-03-28,2老,2006-04-06,0老, , 
没林,2007,2007-03-22,-4老,2007-04-01,-5老, , 
没林,2008,2008-03-30,4老,2008-04-08,2老, , 
没林,2009,2009-03-24,-2老,2009-04-03,-3老, , 
没林,2010,2010-04-01,6老,2010-04-18,12老, , 
没林,2011,2011-03-28,2老,2011-04-14,8老, , 
没林,2012,2012-03-31,5老,2012-04-17,11老, , 
没林,2013,2013-03-30,4老,2013-04-14,8老, , 
没林,2014,2014-03-22,-4老,2014-03-29,-8老, , 
没林,2015,2015-03-28,2老,2015-04-02,-4老,2015-04-04,-3老
没林,2016,2016-03-20,-6老,2016-04-01,-5老,2016-04-03,-4老
没林,2017,2017-03-22,-4老,2017-04-04,-2老,2017-04-07,0老
没林,2018,2018-03-18,-8老,2018-04-01,-5老,2018-04-03,-4老
没林,2019,2019-03-21,-5老,2019-03-28,-9老,2019-04-06,-1老
没林,2020,2020-03-13,-13老,2020-03-26,-11老,2020-03-29,-9老
没林,2021,2021-03-12,-14老,2021-03-24,-13老,2021-03-27,-11老
没林,2022,2022-03-22,-4老,2022-04-02,-4老,2022-04-05,-2老
没林,2023,2023-03-11,-15老,2023-03-23,-14老,2023-03-26,-12老
没林,2024,2024-03-21,-5老,2024-03-31,-6老,2024-04-02,-5老
没林,2025,2025-03-24,-2老,2025-03-31,-6老,2025-04-04,-3老
眠浅飞,2005,2005-03-24,-1老,2005-04-11,2老, , 
眠浅飞,2006,2006-03-27,2老,2006-04-09,0老, , 
眠浅飞,2007,2007-03-23,-2老,2007-04-02,-7老, , 
眠浅飞,2008,2008-04-01,7老,2008-04-05,-4老, , 
眠浅飞,2009,2009-03-23,-2老,2009-04-01,-8老, , 
眠浅飞,2010,2010-03-28,3老,2010-04-17,8老, , 
眠浅飞,2011,2011-04-01,7老,2011-04-11,2老, , 
眠浅飞,2012,2012-04-04,10老,2012-04-16,7老, , 
眠浅飞,2013,2013-03-26,1老,2013-04-10,1老, , 
眠浅飞,2014,2014-03-26,1老,2014-04-01,-8老, , 
眠浅飞,2015,2015-03-28,3老,2015-04-13,4老,2015-04-17, 
面林,2005,2005-04-04,9老,2005-04-12,3老, , 
面林,2006,2006-04-03,8老,2006-04-10,1老, , 
面林,2007,2007-03-30,4老,2007-04-06,-3老, , 
面林,2008,2008-03-24,-2老,2008-04-07,-2老, , 
面林,2009,2009-03-20,-6老,2009-04-03,-6老, , 
面林,2010,2010-03-30,4老,2010-04-18,9老, , 
面林,2011,2011-04-01,6老,2011-04-13,4老, , 
面林,2012,2012-04-06,11老,2012-04-14,5老, , 
面林,2013,2013-04-03,8老,2013-04-10,1老, , 
面林,2014,2014-03-25,-1老,2014-03-31,-9老, , 
面林,2015,2015-03-25,-1老,2015-04-04,-5老,2015-04-10, 
